Date,Day_Name,Total_Messages,User_Questions,Assistant_Responses,Unique_Users,Active_Agents
2025-10-30,miércoles,16,8,8,2,3
2025-10-31,jueves,0,0,0,0,0
2025-11-01,viernes,0,0,0,0,0
2025-11-02,sábado,0,0,0,0,0
2025-11-03,domingo,52,26,26,5,22
2025-11-04,lunes,61,36,25,8,34
2025-11-05,martes,48,24,24,9,13
2025-11-06,miércoles,84,42,42,9,16
2025-11-07,jueves,70,35,35,6,29
2025-11-08,viernes,10,5,5,1,3
2025-11-09,sábado,9,5,4,4,5
2025-11-10,domingo,49,32,17,9,27
2025-11-11,lunes,45,24,21,5,13
2025-11-12,martes,85,48,37,12,19
2025-11-13,miércoles,199,103,96,7,72
2025-11-14,jueves,100,50,50,3,30
2025-11-15,viernes,29,15,14,1,14
2025-11-16,sábado,16,8,8,1,8
2025-11-17,domingo,60,32,28,4,23
2025-11-18,lunes,99,52,47,6,37
2025-11-19,martes,86,43,43,4,38
2025-11-20,miércoles,14,5,9,5,9
2025-11-21,jueves,42,19,23,8,20
2025-11-22,viernes,4,2,2,1,1
2025-11-23,sábado,0,0,0,0,0
2025-11-24,domingo,91,44,47,7,37
2025-11-25,lunes,230,111,119,17,89
2025-11-26,martes,164,82,82,4,78
2025-11-27,miércoles,10,5,5,1,5
2025-11-28,jueves,37,16,21,7,16
