Domain,Unique_Users,Total_Messages,User_Questions,Assistant_Responses,Percentage_Of_Users
maqsa.cl,13,233,121,112,27.08
salfagestion.cl,9,345,181,164,18.75
novatec.cl,6,92,45,47,12.50
inoval.cl,4,61,29,32,8.33
iaconcagua.com,3,31,15,16,6.25
getaifactory.com,2,767,393,374,4.17
salfacloud.cl,2,38,18,20,4.17
salfamantenciones.cl,2,4,1,3,4.17
practicantecorp.cl,2,5,2,3,4.17
unknown,1,22,11,11,2.08
gmail.com,1,106,54,52,2.08
geovita.cl,1,1,0,1,2.08
salfamontajes.com,1,4,2,2,2.08
salfacorp.com,1,1,0,1,2.08
