Date,Total_Messages,Active_Agents,Unique_Users
2025-09-01,0,0,0
2025-09-02,0,0,0
2025-09-03,0,0,0
2025-09-04,0,0,0
2025-09-05,0,0,0
2025-09-06,0,0,0
2025-09-07,0,0,0
2025-09-08,0,0,0
2025-09-09,0,0,0
2025-09-10,0,0,0
2025-09-11,0,0,0
2025-09-12,0,0,0
2025-09-13,0,0,0
2025-09-14,0,0,0
2025-09-15,0,0,0
2025-09-16,0,0,0
2025-09-17,0,0,0
2025-09-18,0,0,0
2025-09-19,0,0,0
2025-09-20,0,0,0
2025-09-21,0,0,0
2025-09-22,0,0,0
2025-09-23,0,0,0
2025-09-24,0,0,0
2025-09-25,0,0,0
2025-09-26,0,0,0
2025-09-27,0,0,0
2025-09-28,0,0,0
2025-09-29,0,0,0
2025-09-30,0,0,0
2025-10-01,0,0,0
2025-10-02,0,0,0
2025-10-03,0,0,0
2025-10-04,0,0,0
2025-10-05,0,0,0
2025-10-06,0,0,0
2025-10-07,0,0,0
2025-10-08,0,0,0
2025-10-09,0,0,0
2025-10-10,0,0,0
2025-10-11,0,0,0
2025-10-12,0,0,0
2025-10-13,0,0,0
2025-10-14,0,0,0
2025-10-15,0,0,0
2025-10-16,0,0,0
2025-10-17,0,0,0
2025-10-18,0,0,0
2025-10-19,0,0,0
2025-10-20,0,0,0
2025-10-21,19,7,1
2025-10-22,100,34,2
2025-10-23,44,15,4
2025-10-24,56,18,3
2025-10-25,0,0,0
2025-10-26,0,0,0
2025-10-27,10,4,1
2025-10-28,60,13,5
2025-10-29,77,27,4
2025-10-30,16,3,2
2025-10-31,0,0,0
2025-11-01,0,0,0
2025-11-02,0,0,0
2025-11-03,52,22,5
2025-11-04,61,34,8
2025-11-05,48,13,9
2025-11-06,84,16,9
2025-11-07,70,29,6
2025-11-08,10,3,1
2025-11-09,9,5,4
2025-11-10,49,27,9
2025-11-11,45,13,5
2025-11-12,85,19,12
2025-11-13,199,72,7
2025-11-14,100,30,3
2025-11-15,29,14,1
2025-11-16,16,8,1
2025-11-17,60,23,4
2025-11-18,99,37,6
2025-11-19,86,38,4
2025-11-20,14,9,5
2025-11-21,42,20,8
2025-11-22,4,1,1
2025-11-23,0,0,0
2025-11-24,91,37,7
2025-11-25,230,89,17
2025-11-26,164,78,4
2025-11-27,10,5,1
2025-11-28,37,16,7
2025-11-29,0,0,0
